NodeID,Focused_or_Related,Chinese_Name,English_Name,Pinyin_Name,YOB,YOB_ReferenceA,YOB_ReferenceB,YOB_ReferenceC,YOD,YOD_ReferenceA,YOD_ReferenceB,YOD_ReferenceC,Dialect_Group_Chinese,Dialect_Group_English,Node_Size,Hometown_in_Details_Chinese,Hometown_in_Details_English,Search_by_Place_of_Origin_Chinese,Search_by_Place_of_Origin_English,Search_by_Place_of_Birth_Chinese,Search_by_Place_of_Birth_English,NLB_Link,Reference1,Reference1Link,Reference2_Chinese,Reference2_English,Reference2Link,Reference2_Complete_Index1,Reference2_Short_Index 2
673,Related,萧守福,Nil,Xiao Shoufu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
674,Related,萧才发,Nil,Xiao Caifa,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省晋江县,"Jinjiang County, Fujian Province",福建,Fujian,马六甲,Melaka,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
675,Related,萧守仁,Nil,Xiao Shouren,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省晋江县,"Jinjiang County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
676,Related,萧月清,Nil,Xiao Yueqing,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省晋江县,"Jinjiang County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
677,Related,陈恩裕,Nil,Chen Enyu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
678,Related,萧月明,Nil,Xiao Yueming,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省晋江县,"Jinjiang County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
679,Related,林坤德,Nil,Lin Kunde,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
680,Related,萧友仁,Nil,Xiao Youren,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省晋江县,"Jinjiang County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
681,Related,萧月卿,Nil,Xiao Yueqing,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
682,Related,谢宝荣,Nil,Xie Baorong,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
683,Related,薛兆熊,Nil,Xue Zhaoxiong,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省东山县,"Dongshan County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
684,Related,郭枚生,Nil,Guo Meisheng,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省惠安县,"Hui'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
685,Related,许济侯,Nil,Xu Jihou,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省惠安县,"Hui'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
686,Related,苏妈英,Nil,Su Maying,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
687,Related,何衍品,Nil,He Yanpin,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
